index,true_label,wife_age,number_of_children_ever_born,wife_education_1,wife_education_2,wife_education_3,wife_education_4,husband_education_1,husband_education_2,husband_education_3,husband_education_4,wife_religion_0,wife_religion_1,wife_now_working_0,wife_now_working_1,husband_occupation_1,husband_occupation_2,husband_occupation_3,husband_occupation_4,standard_of_living_index_1,standard_of_living_index_2,standard_of_living_index_3,standard_of_living_index_4,media_exposure_0,media_exposure_1,label,description_lengths,description_lengths_unnormalized,is_error,L_0,L_1,L_2,r_min,r_med,relative_position,pseudo_probability,normalized_entropy,description_length_margin,description_length_true_cost,kullback_leibler_divergence
0,0,24.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,[0.32540359 0.34046577 0.33413064],[8.71455774 9.11793428 8.94827462],0,8.71455774,9.11793428,8.94827462,0.973881346863058,0.9647356329456884,0.0,0.5934374954715232,0.98742290607315,0.9912729578233137,0.32540359493138826,0.7855741507533779
1,0,45.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,[0.27852218 0.32003987 0.40143796],[14.23252446 16.35408449 20.513539  ],0,14.23252446,16.35408449,20.513539,0.8702733844766706,0.7720879792042117,0.0,0.10850876695522937,0.3204108371541661,0.9584823114008522,0.2785221771500072,0.5413323232070275
2,0,43.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,[0.33455092 0.30667447 0.35877461],[12.54526861 11.49993412 13.45362871],1,12.54526861,11.49993412,13.45362871,1.0,1.0,0.5350552204093195,0.7645693123990298,0.7578258850294048,0.9721235449258009,0.33455092139973763,0.8895964505014807
3,0,42.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,[0.29993389 0.31755293 0.38251317],[12.73918893 13.48752813 16.24660527],0,12.73918893,13.48752813,16.24660527,0.9445162083273063,0.8568730595083108,0.0,0.33471976346275945,0.6490464188883808,0.9823809591779024,0.2999338933442004,0.6428982840163988
4,0,36.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,[0.33553474 0.3272062  0.33725906],[12.72900759 12.41305202 12.79442228],1,12.72900759,12.41305202,12.79442228,1.0,1.0,0.8284745883738449,0.6977252251557757,0.9866517160935911,0.9916714583363895,0.3355347400576914,0.8489087115337369
5,0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,[0.29775887 0.3612024  0.34103873],[10.59341459 12.85055496 12.13318895],0,10.59341459,12.85055496,12.13318895,0.8730940095618396,0.8480245896942493,0.0,0.24189517452705256,0.6429110123110555,0.9567201422239294,0.29775887216238034,0.5985748980347916
6,0,38.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,[0.27854076 0.27904787 0.44241137],[ 9.25802214  9.2748774  14.70468577],0,9.25802214,9.2748774,14.70468577,0.9981826971644733,0.7721593653390844,0.0,0.49687981409378,0.6436094990203707,0.9994928855438117,0.2785407559957748,0.7292903248420642
7,0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,[0.32823302 0.34052147 0.33124551],[12.89809848 13.38097994 13.01647598],0,12.89809848,13.38097994,13.01647598,0.9909055645189379,0.9772228443613423,0.0,0.6008563374603659,0.982447739138854,0.9969875091011062,0.32823301965353535,0.7900156793870916
8,0,27.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,[0.36237324 0.33295501 0.30467174],[10.51097473  9.65767149  8.83728883],1,10.51097473,9.65767149,8.83728883,1.0,1.0,0.9999999994025163,0.884781637066404,0.8210012818843312,0.9717167311256282,0.3623732422871031,0.9576111874232104
9,0,45.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,[0.27209474 0.37503892 0.35286634],[15.47311699 21.32720808 20.06632794],0,15.47311699,21.32720808,20.06632794,0.7710985804425611,0.7476103023320494,0.0,0.012821914814437951,0.06860345433021349,0.9192283929720373,0.27209473691034636,0.5046542854322313
