index,true_label,wife_age,number_of_children_ever_born,wife_education_1,wife_education_2,wife_education_3,wife_education_4,husband_education_1,husband_education_2,husband_education_3,husband_education_4,wife_religion_0,wife_religion_1,wife_now_working_0,wife_now_working_1,husband_occupation_1,husband_occupation_2,husband_occupation_3,husband_occupation_4,standard_of_living_index_1,standard_of_living_index_2,standard_of_living_index_3,standard_of_living_index_4,media_exposure_0,media_exposure_1,label,description_lengths,description_lengths_unnormalized
0,0,24.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,[0.32540359 0.34046577 0.33413064],[8.71455774 9.11793428 8.94827462]
1,0,45.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,[0.27852218 0.32003987 0.40143796],[14.23252446 16.35408449 20.513539  ]
2,0,43.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,[0.33455092 0.30667447 0.35877461],[12.54526861 11.49993412 13.45362871]
3,0,42.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,[0.29993389 0.31755293 0.38251317],[12.73918893 13.48752813 16.24660527]
4,0,36.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,[0.33553474 0.3272062  0.33725906],[12.72900759 12.41305202 12.79442228]
5,0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,[0.29775887 0.3612024  0.34103873],[10.59341459 12.85055496 12.13318895]
6,0,38.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,[0.27854076 0.27904787 0.44241137],[ 9.25802214  9.2748774  14.70468577]
7,0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,[0.32823302 0.34052147 0.33124551],[12.89809848 13.38097994 13.01647598]
8,0,27.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,[0.36237324 0.33295501 0.30467174],[10.51097473  9.65767149  8.83728883]
9,0,45.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,[0.27209474 0.37503892 0.35286634],[15.47311699 21.32720808 20.06632794]
10,0,38.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,[0.18657553 0.30659073 0.50683374],[10.43795844 17.15220279 28.35478768]
11,0,42.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,[0.29845087 0.34724731 0.35430181],[ 8.76106852 10.19349506 10.40058082]
12,0,44.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,[0.31484879 0.32351594 0.36163527],[10.43368605 10.72090453 11.98413034]
13,0,42.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,[0.29567656 0.36966878 0.33465466],[12.20741047 15.26228045 13.81667443]
14,0,38.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,[0.35939121 0.33578381 0.30482497],[9.95339056 9.29958027 8.44217086]
15,0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,[0.27374245 0.45395959 0.27229796],[12.94735442 21.47118816 12.87903334]
16,0,48.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,[0.30148058 0.349189   0.34933042],[14.03627111 16.25747028 16.26405437]
17,0,39.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,[0.29567384 0.45406062 0.25026554],[11.2695762  17.30647119  9.53884393]
18,0,37.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,[0.28024883 0.42285244 0.29689874],[12.3310586  18.60567359 13.06366126]
19,0,39.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,[0.25533519 0.4659473  0.27871751],[11.54522574 21.06825504 12.6024801 ]
20,0,26.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,[0.37030857 0.31894654 0.31074488],[16.44752    14.16623867 13.801956  ]
21,0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,[0.35621057 0.34503551 0.29875392],[13.94176293 13.50438087 11.69296097]
22,0,46.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,[0.29031064 0.33325112 0.37643824],[10.16061759 11.66349645 13.17500769]
23,0,39.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,[0.2952342  0.33699407 0.36777173],[ 8.62192348  9.84146495 10.7402857 ]
24,0,48.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,[0.29194207 0.31495242 0.39310551],[10.1874224  10.99037695 13.71755693]
25,0,40.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,[0.29026259 0.38359817 0.32613925],[12.55242611 16.58873003 14.10391482]
26,0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,[0.39093764 0.3056008  0.30346156],[12.91686127 10.09727042 10.0265885 ]
27,0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,[0.27420303 0.33330525 0.39249172],[ 9.06044786 11.01335313 12.96904264]
28,0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,[0.27737767 0.34040821 0.38221413],[ 9.82003877 12.0515174  13.53157799]
29,0,43.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,[0.3135237  0.32193871 0.36453758],[13.4486372  13.80960006 15.63688376]
30,0,31.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,[0.37940483 0.324238   0.29635718],[10.90745269  9.32146971  8.51992828]
31,0,31.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,[0.32518182 0.36712816 0.30769002],[8.23552418 9.29785334 7.79252872]
32,0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,[0.35542099 0.34805977 0.29651924],[12.63527714 12.37358457 10.54130987]
33,0,33.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,[0.30434339 0.38133462 0.31432199],[10.14711034 12.71407447 10.47980705]
34,0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,[0.27869746 0.46935626 0.25194628],[10.75485823 18.11232898  9.72253739]
35,0,42.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,[0.26984394 0.40574532 0.32441074],[13.63484063 20.50174873 16.39202544]
36,0,43.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,[0.31535613 0.35419403 0.33044984],[15.13786584 17.00218007 15.86240112]
37,0,25.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,[0.30170344 0.38685777 0.31143879],[ 8.88541244 11.39327697  9.17212629]
38,0,42.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,[0.32155086 0.34993969 0.32850946],[10.71523792 11.66125646 10.94712367]
39,0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,[0.25888188 0.50791898 0.23319914],[ 9.10912159 17.8718411   8.20543835]
40,0,28.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,[0.29773797 0.4680944  0.23416764],[10.66690471 16.77017675  8.38940338]
41,0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,[0.26343712 0.41101911 0.32554377],[11.54445894 18.01186274 14.2661245 ]
42,0,48.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,[0.28244114 0.38952719 0.32803167],[11.76515967 16.22585684 13.66424482]
43,0,40.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,[0.31716512 0.33829521 0.34453967],[8.94132758 9.53701418 9.71305425]
