fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_MV,feature_CB,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F1,feature_F2,feature_F3,feature_F4,instance_hardness
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0.0,0.32608695652173914,0.2577903682719547,0.6666666666666666,0.6666666666666666,0.5768553144558944,0.4959028685670319,0.0,0.6349504154382203,0.0,0.0,0.9809104258443465,0.9079280729301662,0.0,0.9897209985315712,0.9454545454545455,0.22097026604068856,0.2589114525678273,0.3103714865546472,0.31479997371926904
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,0.3,0.6304347826086957,0.5415617128463477,1.0,0.5714285714285714,0.41072117876368175,0.3573947991987861,0.0,0.6349504154382203,0.0,0.41510794397321826,0.9941262848751835,0.8170735867171024,0.0,1.0,0.9272727272727274,0.22097026604068856,0.26679888181601513,0.29933079599570467,0.43864042198968634
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,0.2,0.6304347826086957,0.5415617128463477,1.0,0.5714285714285714,0.46897782883099215,0.4120291125113805,0.0,0.6349504154382203,0.3333333333333333,0.5686944711585618,0.9985315712187959,0.9204383471640104,0.0010893246187363835,0.9970631424375918,0.9636363636363636,0.22926923222167098,0.2686964910254263,0.3028575442262877,0.4335722761620513
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,0.6,0.7173913043478262,0.5491183879093199,1.0,0.5714285714285714,0.547640589769331,0.4325622422619001,0.06314243759177685,0.6580005360493165,0.5,0.4680339170455021,0.9968652037617555,0.8686474482756436,0.001040582726326743,1.0,0.9454545454545455,0.22745104790917073,0.26144616559737216,0.29917916539280415,0.7274791238604363
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0.0,0.32608695652173914,0.2577903682719547,0.6666666666666666,0.6666666666666666,0.5768553144558944,0.4959028685670319,0.0,0.6349504154382203,0.0,0.0,0.9809104258443465,0.9079280729301662,0.0,0.9897209985315712,0.9454545454545455,0.22097026604068856,0.2589114525678273,0.3103714865546472,0.3077495314990356
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,0.0,0.32608695652173914,0.2577903682719547,0.6666666666666666,0.6666666666666666,0.55476393313534,0.4810636661020537,0.0,0.6349504154382203,0.0,0.203735634566084,0.9823788546255506,0.9102823605046227,0.0,0.9882525697503671,0.9454545454545455,0.22097026604068856,0.26044422694314595,0.3103714865546472,0.32038056092349654
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,0.2,0.8695652173913043,0.2577903682719547,0.6666666666666666,0.9047619047619048,0.4454153258152975,0.3934946217538191,0.0,0.6349504154382203,1.0,0.5186926070367834,0.9985315712187959,0.9121199541254337,0.0,0.9955947136563876,0.9454545454545455,0.22296416181521728,0.2659010449655142,0.3182383855790306,0.32142355295628844
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,1.0,1.0,0.9943342776203966,0.6666666666666666,0.38095238095238093,0.9143993157383788,0.6727929861265745,0.7077826725403817,0.8933261860091128,1.0,0.5612064985600217,0.9949748743718593,0.8912887842869661,0.0007142857142857143,1.0,0.9090909090909092,0.22068134763786937,0.2591991319332357,0.3167962138016584,0.9741432485659276
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,1.0,1.0,0.9943342776203966,0.6666666666666666,0.7142857142857143,0.9168353734717658,0.6802816402732335,0.7077826725403817,0.8933261860091128,1.0,0.6467585764155612,0.9949748743718593,0.9448663945004124,0.005,1.0,0.9454545454545455,0.22509424921253463,0.2634923313996204,0.32165275988624653,0.9673829143718977
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,0.1,0.7173913043478262,0.7159763313609467,0.6666666666666666,0.38095238095238093,0.5101993320898657,0.4251281544784603,0.0,0.6349504154382203,0.0,0.0,0.9853157121879589,0.7369746309558006,0.0,0.986784140969163,0.9454545454545455,0.22927293956100922,0.2801353306135579,0.32200952255222987,0.274047815427952
